 Epoch : 1 , Step : 4800 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 4900 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 5000 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 5100 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 5200 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 5300 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 5400 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 1 , Step : 5500 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 5600 , Loss : nan , Error: nan , lr :0.001000
 Epoch : 2 , Step : 5700 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 5800 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 5900 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 6000 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 6100 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 6200 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 6300 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 6400 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 6500 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 6600 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 6700 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 6800 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 6900 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7000 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7100 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7200 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7300 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7400 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7500 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7600 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7700 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7800 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 7900 , Loss : 0.000000 , Error: nan , lr :0.001000
 Epoch : 2 , Step : 8000 , Loss : 0.000000 , Error: nan , lr :0.001000
